# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileNameCache.fastMisses,1766140747726000000,1766140756097000000,12
FileNameCache.queries,1766140747726000000,1766140756097000000,180
FileNameCache.totalMisses,1766140747726000000,1766140756097000000,12
FilePageCache.pageLoads,1766140747726000000,1766140756097000000,229
FilePageCache.capacityInBytes,1766140747726000000,1766140756097000000,524288000
DirectByteBufferAllocator.reclaimed,1766140747726000000,1766140756097000000,46
FilePageCache.disposedBuffers,1766140747726000000,1766140756097000000,229
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1766140747726000000,1766140756097000000,52445184
DirectByteBufferAllocator.disposed,1766140747726000000,1766140756097000000,183
FilePageCache.totalPageLoadsUs,1766140747726000000,1766140756097000000,143283
FilePageCache.maxCacheSizeInBytes,1766140747726000000,1766140756097000000,244334592
FilePageCache.pageHits,1766140747726000000,1766140756097000000,0
StorageLockContext.competingThreads.avg,1766140747726000000,1766140756097000000,0.0
DirectByteBufferAllocator.hits,1766140747726000000,1766140756097000000,3
DirectByteBufferAllocator.misses,1766140747726000000,1766140756097000000,226
FilePageCache.totalPageDisposalsUs,1766140747726000000,1766140756097000000,1350
StorageLockContext.competingThreads.max,1766140747726000000,1766140756097000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1766140747726000000,1766140756097000000,52445184
FilePageCache.uncachedFileAccess,1766140747726000000,1766140756097000000,361
FilePageCache.pageLoadsAboveSizeThreshold,1766140747726000000,1766140756097000000,0
FilePageCache.pageFastCacheHits,1766140747726000000,1766140756097000000,15621
FilePageCache.maxRegisteredFiles,1766140747726000000,1766140756097000000,834
StorageLockContext.competingThreads.90P,1766140747726000000,1766140756097000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1766140747726000000,1766140756097000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1766140747726000000,1766140756097000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1766140747726000000,1766140756097000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1766140747726000000,1766140756097000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1766140747726000000,1766140756097000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1766140747726000000,1766140756097000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1766140747726000000,1766140756097000000,0
workspaceModel.save.cache.to.file.ms,1766140747726000000,1766140756097000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1766140747726000000,1766140756097000000,0
workspaceModel.mutableEntityStorage.entities.ms,1766140747726000000,1766140756097000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1766140747726000000,1766140756097000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1766140747726000000,1766140756097000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1766140747726000000,1766140756097000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1766140747726000000,1766140756097000000,0
workspaceModel.load.cache.from.file.ms,1766140747726000000,1766140756097000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1766140747726000000,1766140756097000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1766140747726000000,1766140756097000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1766140747726000000,1766140756097000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1766140747726000000,1766140756097000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1766140747726000000,1766140756097000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1766140747726000000,1766140756097000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1766140747726000000,1766140756097000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1766140747726000000,1766140756097000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1766140747726000000,1766140756097000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1766140747726000000,1766140756097000000,1
workspaceModel.loading.total.ms,1766140747726000000,1766140756097000000,16
workspaceModel.updates.ms,1766140747726000000,1766140756097000000,0
workspaceModel.init.bridges.ms,1766140747726000000,1766140756097000000,0
workspaceModel.to.snapshot.ms,1766140747726000000,1766140756097000000,0
workspaceModel.check.recursive.update.ms,1766140747726000000,1766140756097000000,0
workspaceModel.initializing.ms,1766140747726000000,1766140756097000000,0
workspaceModel.pre.handlers.ms,1766140747726000000,1766140756097000000,0
workspaceModel.collect.changes.ms,1766140747726000000,1766140756097000000,0
workspaceModel.loading.from.cache.ms,1766140747726000000,1766140756097000000,12
workspaceModel.updates.precise.ms,1766140747726000000,1766140756097000000,0
workspaceModel.updates.count,1766140747726000000,1766140756097000000,0
workspaceModel.replace.project.model.ms,1766140747726000000,1766140756097000000,0
workspaceModel.update.unloaded.entities.ms,1766140747726000000,1766140756097000000,0
NonBlockingReadAction.failedExecutionTimeUs,1766140747726000000,1766140756097000000,0
NonBlockingReadAction.finalizedExecutionsCount,1766140747726000000,1766140756097000000,15
NonBlockingReadAction.failedExecutionsCount,1766140747726000000,1766140756097000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1766140747726000000,1766140756097000000,191663
AWTEventQueue.dispatchTimeTotalNS,1766140747726000000,1766140756097000000,6988058606
